query,error_type,error_subtype,emotion,feedback_target,intended_learning_outcome
"SELECT DISTINCT Level_of_Access, COUNT(*) AS Access_Count FROM Access_Codes GROUP BY Level_of_Access HAVING COUNT(*) > 1;",construction,inefficient query,sadness,"Don't worry, I'm here to help! Just remove DISTINCT because GROUP BY already ensures one row per Level_of_Access.",Learning to avoid unnecessary DISTINCT
SELECT * FROM Employees e1 INNER JOIN Employees e2 ON e1.Employee_ID = e2.Employee_ID;,construction,inefficient query,calmness,Stay focused on efficiency! This self-join is unnecessary.,Learning to avoid unnecessary self-joins
SELECT Robot_ID FROM Robots WHERE Robot_ID NOT IN (SELECT Robot_ID FROM Robots WHERE Status != 'Active');,construction,inefficient query,happiness,"Good use of NOT IN! However, this can be simplified to 'SELECT Robot_ID FROM Robots WHERE Status = 'Active''.",Understanding how to simplify NOT IN subqueries with direct conditions
"SELECT r.Model, l.Log_ID FROM Robots r JOIN Logs l ON r.Robot_ID = l.Robot_ID WHERE l.Log_ID IN (SELECT Log_ID FROM Logs WHERE Timestamp > '2022-01-01') AND r.Model = 'R2D2' AND l.Action_Description = 'Login';",construction,inefficient query,anger,Don't worry! You are very close! The subquery is redundant because you already have Logs aliased as l in the outer query.,Understanding how to simplify subqueries with JOINs
SELECT DISTINCT Employee_ID FROM Employees WHERE Division = 'IT';,construction,inefficient query,neutral,"Employee_ID is the primary key in Employees, then DISTINCT is unnecessary since IDs are already unique.",Learning to avoid unnecessary DISTINCT
SELECT COUNT(*) FROM Logs WHERE Log_ID IN (SELECT Log_ID FROM Logs WHERE Employee_ID = 1);,construction,inefficient query,sadness,"Don't be discouraged by complex queries! Your query is valid, but the subquery is redundant. You can simplify it by directly filtering with WHERE Employee_ID = 1.",Understanding how to simplify subqueries
SELECT * FROM Incidents WHERE EXISTS (SELECT 1 FROM Incidents i2 WHERE i2.Incident_ID = Incidents.Incident_ID AND i2.Robot_ID = 1001);,construction,inefficient query,happiness,"Great job on using EXISTS! However, the EXISTS subquery is redundant. You can simplify the query to WHERE Robot_ID = 1001 for the same result.",Learning to simplify EXISTS clauses
SELECT Name FROM Employees WHERE NOT (Division = 'HR') AND NOT (Division = 'HR');,construction,inefficient query,calmness,Stay focused on efficiency! The WHERE clause repeats the same condition twice.,Understanding how to simplify WHERE clause
SELECT COUNT(DISTINCT Access_Code_ID) FROM Access_Codes WHERE Employee_ID = 1001;,construction,inefficient query,anger,"Don't get frustrated with complex queries! You are right! However, Access_Code_ID is already unique in the table, DISTINCT is redundant and can be omitted.",Learning to avoid unnecessary DISTINCT
SELECT Employee_ID FROM Access_Codes WHERE EXISTS (SELECT 1 FROM Access_Codes ac2 WHERE ac2.Access_Code_ID = Access_Codes.Access_Code_ID AND ac2.Timestamp_of_Last_Use IS NOT NULL);,construction,inefficient query,neutral,Let's simplify this query! The EXISTS subquery is redundant since it only rechecks the current row.,Learning to simplify EXISTS clauses
